horizon,mse,rmse,mae,mape,mdape,smape,coverage
80 days,962.049265279873,31.01691901656051,25.40846565166141,0.033377400373641335,0.024837834831247796,0.033555769473500814,0.6666666666666666
81 days,859.043484364903,29.30944360380973,24.22126822107451,0.03228116125043395,0.024837834831247796,0.03239506168424189,0.7222222222222222
82 days,852.4329624172565,29.196454620677088,23.75454664217015,0.0317691152130622,0.024837834831247796,0.03187788135824524,0.7222222222222222
83 days,852.2109661696494,29.19265260591523,23.677096930748956,0.031668176291259675,0.024837834831247796,0.0317766873162979,0.7222222222222222
84 days,907.4259146966482,30.123510995510603,25.15681653802741,0.03355701612873009,0.03459080165709161,0.033711409736040074,0.7222222222222222
85 days,920.2157399609168,30.335057935677604,25.512328258183718,0.03373411709366539,0.03459080165709161,0.03389263203984019,0.7222222222222222
86 days,950.5612171549362,30.831172815106083,25.901123346730984,0.03410904041217051,0.03459080165709161,0.03424889622408032,0.6666666666666666
87 days,1072.3817745548965,32.747240716660336,28.191546873852342,0.03719460255578687,0.04183176331707632,0.03745347350789172,0.6111111111111112
88 days,1042.9954617340825,32.295440262273594,27.841806378566055,0.03708012996028429,0.04183176331707632,0.037512188746224355,0.6111111111111112
89 days,1067.7384594919977,32.676267526937615,28.511150247668056,0.038270702370735245,0.04183176331707632,0.038657765559764745,0.6111111111111112
90 days,1043.9299187324452,32.30990434421689,27.852192249793536,0.03762164074215881,0.04183176331707632,0.03799380647017087,0.6111111111111112
91 days,1054.5887729856015,32.47443260452138,28.25518818187616,0.038065646240316796,0.04183176331707632,0.03845670214062517,0.6111111111111112
92 days,934.4700109867113,30.569102227358776,25.91415409600701,0.03480165059251977,0.03904280988476682,0.035073472141671835,0.6666666666666666
93 days,868.2895910770176,29.46675399627549,24.717853416175167,0.033174125357311124,0.030883751743340675,0.033506315019831485,0.7222222222222222
94 days,809.5351324994663,28.45233087990273,23.7394516282903,0.03175913267013383,0.02809255425318831,0.032152135277262586,0.7777777777777778
95 days,802.0133262342812,28.319839798880945,23.360438623352636,0.031282789851326334,0.02809255425318831,0.0316652100690161,0.7777777777777778
96 days,775.8415200676285,27.853931860109597,22.93184162351209,0.030788395285505605,0.02809255425318831,0.03115125133405349,0.7777777777777778
97 days,606.2956342026954,24.623071177306365,20.558920538105024,0.027895513870801397,0.024013826742493083,0.028120473035612284,0.8333333333333334
98 days,610.7755069408825,24.713872762901456,20.778221899162393,0.02814841985833849,0.024013826742493083,0.028369799791033476,0.8333333333333334
99 days,570.0577287242272,23.875881737105065,19.980341131526554,0.0268774424065628,0.02356444809661251,0.027053089912214497,0.8333333333333334
100 days,977.767613978372,31.269275878701954,24.582215378273442,0.03326203756706445,0.02401657393583273,0.033068516499805724,0.7777777777777778
101 days,1039.046513286029,32.2342444193443,26.38687027203493,0.035778750348841135,0.02809255425318831,0.03564630168866516,0.7777777777777778
102 days,1167.88659094616,34.17435575027216,27.82192744670555,0.038838723225988504,0.02809255425318831,0.03841551195369827,0.7222222222222222
103 days,1159.3382056644393,34.04905587038265,27.59910573890336,0.038781362376581835,0.02764317560730774,0.03832624100896734,0.7222222222222222
104 days,1119.6553496826386,33.4612514661756,27.074200755138936,0.038177805156875966,0.02764317560730774,0.03775156693926027,0.7777777777777778
105 days,1067.359396523564,32.670466732563895,26.44477229426441,0.03718102970084792,0.02764317560730774,0.0365803971601987,0.8333333333333334
106 days,1048.9115503330968,32.3869039942551,26.192721363225854,0.036345543171985635,0.02764317560730774,0.03570393545907688,0.8888888888888888
107 days,1022.6682198326325,31.97918416458795,25.46029141040566,0.035164278209355256,0.02356444809661251,0.03455352421998254,0.8888888888888888
108 days,1024.9119102660989,32.01424542709228,25.54714598002716,0.03534503292741459,0.02356444809661251,0.03473764049227854,0.8888888888888888
109 days,1009.4435159756712,31.771740839552233,24.74173062951185,0.03430616616142754,0.02356444809661251,0.03368496012059402,0.8888888888888888
110 days,1016.1901123230143,31.87773693854403,25.150076977615146,0.034859020715351526,0.02356444809661251,0.03424391580970201,0.8888888888888888
111 days,1002.73561119464,31.66600087151265,24.57675785861312,0.034074781537265016,0.023500326291172706,0.03347740798036475,0.8888888888888888
112 days,1035.3867188968386,32.17742561015158,25.187763271537634,0.03489543551277,0.023500326291172706,0.03426689786509974,0.8888888888888888
113 days,1093.0744302263026,33.061676155729046,26.65240096848619,0.03677917519217835,0.028773775437383055,0.036204513225191616,0.8888888888888888
114 days,1056.9311556818727,32.510477629248584,25.60421985068316,0.0354496015273867,0.023500326291172706,0.034839520677311976,0.8888888888888888
115 days,1134.8569106945708,33.68763735696778,27.03450203221699,0.03753218541101263,0.03167178700421777,0.03682240486337597,0.8333333333333334
116 days,1134.3095859960004,33.679512852712115,27.011662813661943,0.037656104320534775,0.03167178700421777,0.03694415956722061,0.8333333333333334
117 days,1223.293156890067,34.97560802745346,28.438671510189938,0.03988097067670368,0.04123575317175117,0.039269519095495004,0.7777777777777778
118 days,867.5098332821337,29.453519879330784,25.38272014368229,0.03568828705280201,0.04123575317175117,0.03549951385442149,0.8333333333333334
119 days,806.7249457858243,28.402903826648153,23.707808490751617,0.033329750635814434,0.031604918005438326,0.03307951756987929,0.8333333333333334
120 days,623.4885819737239,24.969753342268397,20.861733635027186,0.02846011987063362,0.02170073367635153,0.02845161893129265,0.8888888888888888
121 days,607.7575456150175,24.652739109782864,20.098966269001526,0.027405990872490914,0.019390211942856637,0.027412015705583437,0.8888888888888888
122 days,797.0124400168678,28.231408750129134,21.988446236445085,0.03012580371409318,0.019390211942856637,0.030437911270302726,0.8333333333333334
123 days,731.632254336576,27.048701527736522,20.57886153861583,0.028484166645873825,0.017600459255198084,0.02886109965548415,0.8333333333333334
124 days,671.5648914213513,25.91456909580692,19.21933444375736,0.027115426637413856,0.01621364313130693,0.027453933927053295,0.8333333333333334
125 days,729.3428819088223,27.006348918519553,20.48910633399335,0.02891016616614796,0.017600459255198084,0.029322291246383882,0.8333333333333334
126 days,727.1012768062282,26.964815534437246,20.402337683376647,0.028642573097203843,0.01615158048872032,0.02904993631373704,0.8333333333333334
127 days,729.9363737571796,27.01733469010553,20.689421171973056,0.02898871201626693,0.01615158048872032,0.029393885869737273,0.8333333333333334
128 days,722.6735724297273,26.882588648225962,20.216643910500473,0.02835271753100848,0.01576991975215418,0.028750246515099855,0.8333333333333334
129 days,720.2749846408832,26.837939277092108,19.862920117530336,0.027843811030825297,0.01576991975215418,0.028238847790046977,0.8333333333333334
130 days,664.0934243643175,25.770010173927318,18.360328914647205,0.02572513278472059,0.015145196692759795,0.026176913818239188,0.8333333333333334
131 days,618.4663979554487,24.868984658715938,17.428863077253563,0.024579122132659344,0.015145196692759795,0.02499284054578983,0.8333333333333334
132 days,615.5406948385603,24.810092600362463,17.155095873523763,0.024234765566393885,0.015145196692759795,0.024651686931845655,0.8333333333333334
133 days,560.2842124162916,23.670323453985404,16.303729053497346,0.022759786374596018,0.015145196692759795,0.023292073446266767,0.8888888888888888
134 days,553.8741727822126,23.534531496977213,15.917681956771496,0.022092941202321,0.012305995462653258,0.02263368386060083,0.8888888888888888
135 days,447.0916117751992,21.14454094500988,13.692879831551206,0.018880700392816686,0.00891382570648553,0.019306273150530438,0.9444444444444444
136 days,581.9064042375456,24.122736251046348,15.211806030234433,0.02204770397382329,0.00891382570648553,0.022154288523872752,0.8888888888888888
137 days,616.0058605097362,24.819465355034065,16.428081910816022,0.023763886962482092,0.012305995462653258,0.023905063557718126,0.8888888888888888
138 days,615.4989859818085,24.809252023827895,16.38726440923324,0.02382372126692156,0.012305995462653258,0.02396916973833103,0.8888888888888888
139 days,673.091705154758,25.94401096890683,17.99473176504718,0.026198385761414412,0.015145196692759795,0.026407773967914678,0.8888888888888888
140 days,796.4750929333504,28.221890314671526,18.822412076291325,0.028525596459067,0.015145196692759795,0.02800735692755171,0.8888888888888888
141 days,1015.4150373297442,31.865577624291454,21.774889459346486,0.032243514348736776,0.015145196692759795,0.03191893069279296,0.8333333333333334
142 days,1010.0761903546177,31.781695838243397,21.283802251007103,0.031486823366815124,0.012312133589209124,0.03115588884327685,0.8333333333333334
143 days,1031.6084522251444,32.11866205534011,21.576268965656407,0.03211118431452871,0.012312133589209124,0.03181536228380069,0.7777777777777778
144 days,1072.8223440414968,32.75396684436095,22.558613173410713,0.03418082944415757,0.015769934123509546,0.033804244305676676,0.7777777777777778
145 days,1089.3796633939035,33.00575197437416,23.18691572270744,0.035323078743405414,0.026050177816740194,0.0349744122546721,0.7777777777777778
146 days,1120.764029404572,33.47781398784234,24.330674768110466,0.036997249090265284,0.030394705420789606,0.03661644324690181,0.7777777777777778
147 days,1125.3826414935238,33.54672326015648,24.82585377782266,0.03774333196204297,0.030394705420789606,0.03735733925246172,0.7777777777777778
148 days,1350.031391495546,36.742773323410766,28.082981161993416,0.04155473806804494,0.03267890644864447,0.04134178394792943,0.7222222222222222
149 days,1336.1469483985484,36.553343874378285,27.35995710231117,0.04059046048014856,0.03267890644864447,0.04036444673638929,0.7222222222222222
150 days,1349.7099636647097,36.73839903513366,28.08264631545984,0.04178885230610837,0.03267890644864447,0.04158060748935248,0.7222222222222222
151 days,1367.0468334872405,36.9735964370149,28.396555044337333,0.042509918409265816,0.03468563276449678,0.042329307594011184,0.7222222222222222
152 days,1381.0184321895215,37.162056350389456,29.049290560233462,0.043633982443675626,0.03468563276449678,0.04347524718908455,0.7222222222222222
153 days,1388.2819430516247,37.25965570226897,29.500986729669744,0.04436289528966774,0.03468563276449678,0.044213257690064615,0.7222222222222222
154 days,1222.144046926576,34.95917686282925,27.35784730818073,0.04037463438259479,0.032317620773418744,0.04051371175643581,0.7777777777777778
155 days,1518.6359273644955,38.969679590221105,30.259907405431022,0.04358565398545182,0.032317620773418744,0.043940129650820677,0.7222222222222222
156 days,1517.7507829711612,38.95832110051922,30.172329642418358,0.04343368956232969,0.032317620773418744,0.04378695447716031,0.7222222222222222
157 days,1466.7344726906708,38.29796956355089,29.00742273022997,0.04172492001468283,0.02925073647617265,0.04202237097022877,0.7222222222222222
158 days,1141.8249265157342,33.790900054833315,26.09431317964784,0.036908022939236465,0.02925073647617265,0.03774673592100432,0.7777777777777778
159 days,960.6447223782174,30.99426918606434,24.119750174768473,0.034794169184551846,0.02925073647617265,0.0354899277102516,0.8333333333333334
160 days,1034.759366675209,32.16767580468333,26.093250448886653,0.03777617953033638,0.032317620773418744,0.03855889970693296,0.7777777777777778
161 days,970.3574224716413,31.150560548273305,25.008270029624768,0.0360858523837656,0.029595060630484657,0.03679089466129918,0.8333333333333334
162 days,1004.6538722829201,31.696275369243626,25.5079870896902,0.03655424020400645,0.029595060630484657,0.03723384915792796,0.7777777777777778
163 days,1103.225609822058,33.214840204674445,27.02515420142521,0.038584607552733644,0.03187926165833952,0.03936615528029287,0.7222222222222222
164 days,1159.3791683401703,34.04965738946826,27.90453069915431,0.04058687447484647,0.036445941234127456,0.041267222112883924,0.6666666666666666
165 days,1155.212591301926,33.98841848780149,27.55674110581829,0.04006605798034893,0.036445941234127456,0.04075107269398179,0.6666666666666666
166 days,1009.489909397631,31.77247093629375,26.125909740809163,0.039591949600696195,0.036445941234127456,0.03998009998451428,0.6666666666666666
167 days,1016.3773930434561,31.880674287779048,26.596018751614242,0.040374224184737226,0.036445941234127456,0.040752039943342075,0.6666666666666666
168 days,1002.3792102495382,31.66037286971741,25.750977326624465,0.039012530285342774,0.036445941234127456,0.0393721876921181,0.6666666666666666
169 days,952.3954265904457,30.860904500523727,24.347843571460405,0.03701130977855668,0.028812377361093426,0.03731500069006354,0.6666666666666666
170 days,937.1390305869861,30.612726611443584,23.450508130698577,0.03554544356291155,0.028812377361093426,0.035828554451876986,0.6666666666666666
171 days,1000.4844659250363,31.630435753005937,24.77083771448695,0.03727018600892551,0.037209180315065565,0.03761437429424148,0.6111111111111112
172 days,980.6734532056859,31.31570617446916,23.952963002248623,0.036091545527390884,0.037209180315065565,0.03641144099688215,0.6111111111111112
173 days,695.6590504481813,26.375349295282923,21.264353828516295,0.033796515430746556,0.037209180315065565,0.033795680465030425,0.6666666666666666
174 days,708.0262369144617,26.608762408546205,21.889493687573708,0.03463489239262094,0.037209180315065565,0.0346460146798063,0.6666666666666666
175 days,729.8738720718073,27.01617796935398,22.526573052136612,0.0355878387736725,0.03942996917135298,0.03562327894201821,0.6666666666666666
176 days,837.4870493322873,28.93936850265201,23.830029859167073,0.037674283418258785,0.03942996917135298,0.037446542309640354,0.6111111111111112
177 days,795.5888933883303,28.20618537463601,22.601206676416513,0.03567636800684154,0.03137749037169285,0.0353928164960644,0.6111111111111112
178 days,726.7661985433818,26.958601568764315,21.116409168759827,0.03340932244801659,0.025399685786409956,0.03304453723799922,0.6666666666666666
179 days,739.6651180938755,27.196785069082622,21.403122576098504,0.03435025615336152,0.02762047464269737,0.0339038198597311,0.6666666666666666
180 days,689.914262881944,26.26621904427708,20.62002558492714,0.03324776045002721,0.02762047464269737,0.03294874574363333,0.7222222222222222
