horizon,mse,rmse,mae,mape,mdape,smape,coverage
94 days,2111.9263977851256,45.95570038401249,38.30573646343479,0.05265324691090167,0.047748009583378964,0.05070798916856506,0.5
95 days,2248.4915857795827,47.418262154781495,39.84766051043547,0.05481426194224967,0.05602068084550885,0.05274703251229574,0.4444444444444444
96 days,2279.012831289631,47.73900743930094,40.71256728510516,0.055930845531356715,0.05602068084550885,0.05383910649107654,0.4444444444444444
97 days,2353.1361812880054,48.509135029270574,42.16904762342901,0.05802194258303564,0.05664476253388226,0.05584692454549545,0.3888888888888889
98 days,2433.5292512975775,49.33081441956516,42.845004759683555,0.05864708971886896,0.05664476253388226,0.05642294067968581,0.3888888888888889
99 days,2494.322109243467,49.943188817329904,44.101986536033536,0.06016615136902056,0.05664476253388226,0.057894671145726426,0.3888888888888889
100 days,3445.975321170955,58.70243028334478,49.160148871025804,0.06735401968951239,0.05664476253388226,0.06424580843565131,0.3888888888888889
101 days,3347.272057252427,57.85561387845113,47.72288846334977,0.06533408230669495,0.05255436719228938,0.06231934830283324,0.4444444444444444
102 days,4041.4869990545308,63.572690670244015,53.15282259158256,0.07465918030429322,0.05664476253388226,0.07076578684302912,0.3888888888888889
103 days,4293.65857080204,65.5260144583969,55.7213799276609,0.07846565854294246,0.0693007037850828,0.07433998965441496,0.3333333333333333
104 days,4277.064027828456,65.39926626368569,55.6285201500324,0.07854975758613285,0.0693007037850828,0.07441500859388694,0.3333333333333333
105 days,4744.678856183302,68.8816293084252,60.65603883498233,0.08498195616643443,0.08383680836910132,0.080485171200343,0.2777777777777778
106 days,4766.031284417917,69.03644895573582,61.32241683615947,0.08561396008725411,0.08383680836910132,0.08110483377557058,0.2777777777777778
107 days,4723.599649942878,68.72844862167979,61.024452598366906,0.08475829840562837,0.08383680836910132,0.08033221659116556,0.2777777777777778
108 days,4751.4963513098855,68.93109857901501,61.366493645499745,0.08542512301435431,0.08383680836910132,0.0809620321521148,0.2777777777777778
109 days,4888.625775742794,69.91870833863275,62.83536928731681,0.08758838612780293,0.08584387753002787,0.08299530088532295,0.2222222222222222
110 days,4887.823819123707,69.91297318183305,62.826680175644974,0.08766140141946678,0.08584387753002787,0.08306407350470592,0.2222222222222222
111 days,4781.337519206942,69.14721627952163,61.942607476846334,0.08655058080866891,0.0804974005439904,0.0820420472442686,0.2222222222222222
112 days,4951.642643669829,70.3679091892734,62.978500333568746,0.08783578010702767,0.0804974005439904,0.08318536029254345,0.2222222222222222
113 days,4804.014246386675,69.31099657620481,61.24363747406863,0.08541848204922745,0.07880122950527832,0.08089932852548294,0.2777777777777778
114 days,5022.76784126063,70.87148821113206,63.592419989098126,0.088459896907722,0.08482140235228647,0.08376731274611439,0.2222222222222222
115 days,5500.2489421540495,74.16366321962562,67.02854799695213,0.09347416400005443,0.08816081017739738,0.08832485168482679,0.2222222222222222
116 days,5556.637860586141,74.54285921928499,67.43588944498171,0.09498757580057296,0.09209670593492662,0.08969395979722446,0.2222222222222222
117 days,5503.802519295336,74.18761702127476,66.44029454276823,0.09386385180150099,0.09209670593492662,0.08860907408748858,0.2222222222222222
118 days,4475.827297743177,66.90162402919063,60.426931634818516,0.08557587041775501,0.08482140235228647,0.08121494594041176,0.2777777777777778
119 days,4686.718885546106,68.4596149970631,62.86145671220265,0.08849273024855502,0.08482140235228647,0.08397525332673877,0.2222222222222222
120 days,4246.319541358279,65.16379010891156,60.442246950221765,0.08290369705184908,0.08447847374485765,0.07907601616426864,0.2222222222222222
121 days,4203.238536714058,64.8323880226084,60.13191982457007,0.08221905251240844,0.08434363224807329,0.0784504655090562,0.2222222222222222
122 days,3768.486823000118,61.38800227243201,55.387525192804134,0.07588528442958548,0.08242862429652331,0.0724844864946677,0.2777777777777778
123 days,3462.0794063090425,58.839437508435125,53.283593373986086,0.074028520979048,0.08242862429652331,0.07080147647814652,0.2777777777777778
124 days,3603.3112502199738,60.027587409623365,55.11689722547773,0.07730625238177209,0.08328220682056234,0.07390670397529919,0.2222222222222222
125 days,3396.381830776045,58.27848514482892,53.04079007392146,0.07436212352707439,0.08242862429652331,0.07115935917873255,0.2777777777777778
126 days,3447.1621017792554,58.7125378584443,53.56361313818018,0.07450489682320727,0.08242862429652331,0.07129325755333732,0.2777777777777778
127 days,3547.3691204108104,59.559794496042464,54.31521130410679,0.07505894545508136,0.08320636141216871,0.0718018397710702,0.2777777777777778
128 days,3700.1908926513797,60.829194410672415,55.63403952527455,0.0767027725597163,0.08428659999420438,0.07332726710958212,0.2777777777777778
129 days,3797.5100410944337,61.62394048658714,56.450278757071146,0.07765466776121382,0.08534802542171531,0.07420426925891584,0.2777777777777778
130 days,3625.8493400285015,60.215025865879205,55.405075015323206,0.07684328550023915,0.08534802542171531,0.07348537103622113,0.2777777777777778
131 days,3732.829139054624,61.096883218824054,56.769225086593096,0.07881846509967327,0.08534802542171531,0.07536047205303766,0.2222222222222222
132 days,3713.905714050376,60.941822372245944,56.62678197070741,0.0788157196769941,0.08534802542171531,0.07535795102879833,0.2222222222222222
133 days,3259.8098940965697,57.09474489037121,53.475049975429926,0.07385739922562139,0.08428659999420438,0.07085347213997456,0.2222222222222222
134 days,3270.236135346498,57.18597848552124,53.54595746488817,0.0732002204837155,0.08428659999420438,0.07026330905095271,0.2222222222222222
135 days,3493.643668846275,59.10705261511755,56.225399798614475,0.0771184533551996,0.08534802542171531,0.0739553338714046,0.16666666666666666
136 days,4351.740189617949,65.96772081569856,61.60434111615987,0.08696358598538018,0.08631763628801398,0.08262784955952064,0.1111111111111111
137 days,4228.566894268284,65.02743185970274,60.488198512431524,0.08588060384135443,0.08631763628801398,0.08161939248881239,0.1111111111111111
138 days,4197.54475209038,64.7884615660102,60.25727637753572,0.08682683487393356,0.08663585609133026,0.08248179365801879,0.1111111111111111
